transaction_id,customer_id,transaction_amount,transaction_type,merchant_category,transaction_time,transaction_location,customer_home_location,device_type,is_international,previous_transaction_time,account_balance,customer_avg_spend,fraud_pattern,is_fraud
TXN106252,CUST11063,410.46,ATM,Grocery,2024-02-28 08:52:27,Bangalore,Surat,Tablet,0,2024-02-28 08:45:27,140125.17,438.35,,0
TXN104684,CUST10467,3483.81,ATM,Luxury,2024-04-18 18:15:59,Kolkata,Kolkata,ATM Terminal,0,2024-04-18 01:38:59,19379.04,3065.66,,0
TXN101731,CUST10580,94.69,POS,Gaming,2024-06-07 04:19:48,Jaipur,Jaipur,Mobile,0,2024-06-06 11:05:48,289529.14,90.08,,0
TXN104742,CUST10858,1867.63,Online,Restaurant,2024-10-17 02:19:55,Lucknow,Lucknow,Desktop,0,2024-10-16 11:39:55,50817.01,2692.91,,0
TXN104521,CUST11075,2135.11,Online,Travel,2024-06-06 21:14:33,Delhi,Delhi,Mobile,0,2024-06-06 21:10:33,3653.36,1464.07,velocity,1
TXN106340,CUST10931,4185.44,ATM,Entertainment,2024-09-12 07:57:35,Kolkata,Kolkata,POS Terminal,0,2024-09-12 06:51:35,7142.05,4685.31,,0
TXN100576,CUST10229,1521.62,UPI,Fuel,2024-12-24 12:53:45,Surat,Surat,ATM Terminal,0,2024-12-24 06:41:45,10402.58,930.41,,0
TXN105202,CUST10611,3252.78,UPI,Gaming,2024-07-25 21:11:09,Kolkata,Kolkata,Mobile,0,2024-07-25 02:58:09,49341.5,3868.15,,0
TXN106363,CUST11018,1901.35,Online,Fuel,2024-05-28 08:14:29,Jaipur,Jaipur,Desktop,0,2024-05-28 06:52:29,24752.92,2895.46,,0
TXN100439,CUST10846,12766.49,UPI,Fuel,2024-06-03 19:05:59,Indore,Indore,Mobile,0,2024-06-02 21:27:59,11811.06,5143.85,,0
TXN102750,CUST10795,182.63,Online,Gaming,2024-03-01 10:22:00,Kolkata,Kolkata,Desktop,0,2024-02-29 20:06:00,2091.27,499.41,,0
TXN107487,CUST10505,10484.05,NEFT,Luxury,2024-08-02 11:17:53,Hyderabad,Hyderabad,Mobile,0,2024-08-02 01:01:53,54286.62,8785.63,,0
TXN105272,CUST10560,4541.44,POS,Pharmacy,2024-04-06 15:08:32,Kochi,Kochi,Mobile,0,2024-04-05 22:18:32,89455.85,6813.29,,0
TXN105653,CUST10139,5486.39,POS,Utilities,2024-11-09 17:13:02,Hyderabad,Hyderabad,Mobile,0,2024-11-09 10:01:02,25750.49,1966.01,,0
TXN103999,CUST10317,1208.56,Online,Restaurant,2024-09-11 21:56:02,Nagpur,Nagpur,ATM Terminal,0,2024-09-11 00:34:02,6816.96,536.72,,0
TXN106033,CUST10165,2055.88,ATM,Clothing,2024-09-20 17:13:06,Lucknow,Lucknow,Mobile,0,2024-09-20 07:38:06,10902.45,1781.67,,0
TXN100582,CUST10598,2828.11,UPI,Electronics,2024-08-12 15:08:30,Delhi,Delhi,Mobile,0,2024-08-12 09:01:30,67151.52,1765.93,,0
TXN109930,CUST10667,3626.98,POS,Grocery,2024-12-28 13:11:40,Delhi,Delhi,Mobile,0,2024-12-27 13:45:40,21713.34,2161.16,,0
TXN107051,CUST10463,861.39,POS,Restaurant,2024-12-15 12:02:12,Bangalore,Patna,Mobile,0,2024-12-15 00:49:12,52345.87,924.54,,0
TXN108158,CUST10003,26641.94,UPI,Travel,2024-12-02 13:05:05,Bangalore,Bangalore,POS Terminal,0,2024-12-02 05:44:05,69557.22,12028.76,,0
TXN109896,CUST10614,4100.39,UPI,Clothing,2024-02-15 22:23:10,Indore,Nagpur,Mobile,0,2024-02-15 17:05:10,294480.31,5748.27,,0
TXN102249,CUST10139,1457.75,POS,Gaming,2024-07-26 13:24:38,Hyderabad,Hyderabad,ATM Terminal,0,2024-07-26 09:01:38,20572.16,1966.01,,0
TXN104640,CUST10238,1957.78,Online,Gaming,2024-10-17 19:12:46,Kolkata,Mumbai,Desktop,0,2024-10-17 02:32:46,35683.73,3611.46,,0
TXN109485,CUST10944,1928.12,POS,Luxury,2024-02-28 13:11:12,Delhi,Delhi,Mobile,0,2024-02-27 20:56:12,40782.95,1023.92,,0
TXN104947,CUST10849,3174.46,POS,Restaurant,2024-12-12 09:28:02,Patna,Patna,Mobile,0,2024-12-12 00:55:02,51235.63,3349.91,,0
TXN109920,CUST10396,623.66,Online,Clothing,2024-04-25 17:18:52,Ahmedabad,Ahmedabad,Desktop,0,2024-04-25 10:23:52,13165.74,2504.63,,0
TXN101963,CUST11063,853.82,UPI,Clothing,2024-01-29 16:30:27,Surat,Surat,Mobile,0,2024-01-29 04:21:27,124830.48,438.35,,0
TXN108243,CUST10586,2711.84,Online,Pharmacy,2024-03-27 10:53:31,Kochi,Kochi,Mobile,0,2024-03-27 08:39:31,38854.79,2048.87,,0
TXN106590,CUST11077,305.07,UPI,Entertainment,2024-10-24 08:17:26,Kochi,Kochi,Desktop,0,2024-10-23 18:11:26,14924.2,398.54,,0
TXN108847,CUST10735,5692.01,Online,Pharmacy,2024-11-08 13:43:48,Lucknow,Lucknow,Mobile,0,2024-11-08 08:08:48,16833.32,7600.41,,0
TXN100321,CUST10900,11013.01,ATM,Fuel,2024-06-04 14:46:50,Kochi,Kochi,Desktop,0,2024-06-03 16:17:50,35672.19,17701.93,,0
TXN102678,CUST10239,1323361.43,Online,Crypto Exchange,2024-08-27 12:28:54,Indore,Indore,Tablet,0,2024-08-27 12:24:54,2696103.0,72740.75,high_value,1
TXN104625,CUST11053,644.91,ATM,Pharmacy,2024-01-16 12:46:29,Bangalore,Bangalore,Desktop,0,2024-01-16 02:09:29,74616.77,613.55,,0
TXN104949,CUST11026,940.88,UPI,Entertainment,2024-02-08 11:48:30,Lucknow,Lucknow,ATM Terminal,0,2024-02-08 01:41:30,31862.3,820.78,,0
TXN108328,CUST11149,3612.94,Online,Utilities,2024-08-26 19:05:58,Mumbai,Mumbai,Desktop,0,2024-08-26 08:30:58,7506.17,3946.33,,0
TXN103337,CUST10348,4920.65,Online,Restaurant,2024-09-12 13:19:04,Patna,Patna,Mobile,0,2024-09-12 04:41:04,11189.72,2674.08,,0
TXN105589,CUST10430,1696.78,ATM,Fuel,2024-05-17 20:42:49,Hyderabad,Hyderabad,Mobile,0,2024-05-17 02:44:49,10103.48,2306.55,,0
TXN100251,CUST10928,16669.36,POS,Travel,2024-02-13 11:07:47,Chennai,Patna,ATM Terminal,0,2024-02-12 11:22:47,20029.9,9613.83,,0
TXN103973,CUST10986,4008.12,UPI,Travel,2024-07-31 15:48:07,Bhopal,Bhopal,Mobile,0,2024-07-30 22:02:07,54178.0,3972.22,,0
TXN106630,CUST10625,2868.62,POS,Grocery,2024-01-22 13:03:28,Delhi,Delhi,POS Terminal,0,2024-01-22 08:16:28,108579.52,2689.35,,0
TXN105547,CUST10027,4991.55,POS,Crypto Exchange,2024-08-07 17:27:20,Nagpur,Nagpur,Desktop,0,2024-08-07 16:11:20,107027.39,6230.42,,0
TXN100035,CUST10113,3639.24,NEFT,Luxury,2024-01-19 21:35:51,Delhi,Delhi,Desktop,0,2024-01-19 10:35:51,10493.48,1953.03,,0
TXN108362,CUST10785,5709.69,Online,Utilities,2024-10-29 15:09:07,Nagpur,Nagpur,Mobile,0,2024-10-28 19:37:07,11366.77,4689.67,,0
TXN101513,CUST10879,9920.6,Online,Grocery,2024-05-06 23:44:59,Delhi,Delhi,Mobile,0,2024-05-06 09:14:59,133183.68,12515.63,,0
TXN109317,CUST10073,302.88,NEFT,Crypto Exchange,2024-02-06 12:41:36,Kolkata,Kolkata,Mobile,0,2024-02-05 15:51:36,9111.71,409.8,,0
TXN100039,CUST10089,1818.01,POS,Crypto Exchange,2024-01-04 09:59:26,Kochi,Kochi,Desktop,0,2024-01-03 22:28:26,676160.87,1316.08,,0
TXN104819,CUST10118,61.53,POS,Electronics,2024-02-09 11:27:38,Ahmedabad,Ahmedabad,ATM Terminal,0,2024-02-08 23:50:38,36047.92,159.15,,0
TXN103465,CUST10942,1130.36,POS,Clothing,2024-09-30 15:58:27,Dubai,Mumbai,Mobile,1,2024-09-30 04:54:27,53958.34,1751.65,,0
TXN101760,CUST11175,12343.76,Online,Travel,2024-10-20 22:35:12,Paris,Bangalore,Desktop,1,2024-10-20 22:11:12,25948.19,6450.57,intl_combo,1
TXN102304,CUST10391,3348.23,Online,Pharmacy,2024-06-27 21:47:42,Hyderabad,Hyderabad,Tablet,0,2024-06-27 00:35:42,50581.93,2853.32,,0
TXN103723,CUST10007,455.83,ATM,Electronics,2024-08-13 21:21:25,Bhopal,Bhopal,Desktop,0,2024-08-13 19:06:25,21727.88,228.17,,0
TXN108284,CUST10499,693.57,Online,Entertainment,2024-01-01 11:08:00,Nagpur,Nagpur,POS Terminal,0,2023-12-31 17:01:00,52639.07,911.04,,0
TXN104993,CUST10803,1611.06,POS,Clothing,2024-06-22 20:11:13,Jaipur,Jaipur,Tablet,0,2024-06-22 09:33:13,238083.86,2094.78,,0
TXN108127,CUST10764,664.05,Online,Restaurant,2024-04-19 11:00:32,Jaipur,Jaipur,POS Terminal,0,2024-04-19 00:42:32,13518.66,1005.64,,0
TXN103032,CUST11067,1777.63,POS,Restaurant,2024-02-17 12:01:48,Ahmedabad,Ahmedabad,Desktop,0,2024-02-16 15:28:48,17940.26,1182.22,,0
TXN107938,CUST10000,7527.05,NEFT,Grocery,2024-08-03 16:37:14,Hyderabad,Hyderabad,ATM Terminal,0,2024-08-03 06:00:14,30881.62,3281.5,,0
TXN103039,CUST10172,1187.25,POS,Fuel,2024-06-29 18:25:00,Indore,Ahmedabad,POS Terminal,0,2024-06-28 23:35:00,36513.64,1027.37,,0
TXN109655,CUST10014,381.15,POS,Crypto Exchange,2024-06-14 20:46:11,Indore,Indore,Tablet,0,2024-06-13 20:58:11,33761.99,879.39,,0
TXN102545,CUST10476,155.92,UPI,Utilities,2024-12-11 01:47:37,Ahmedabad,Ahmedabad,Desktop,0,2024-12-10 09:03:37,135522.56,402.68,,0
TXN102592,CUST10580,107.09,UPI,Pharmacy,2024-10-25 16:57:23,Jaipur,Jaipur,Mobile,0,2024-10-25 12:52:23,340334.1,90.08,,0
TXN101188,CUST10519,3008.03,Online,Luxury,2024-07-06 11:50:44,Mumbai,Mumbai,ATM Terminal,0,2024-07-06 08:08:44,111847.5,2366.91,,0
TXN107966,CUST10306,3125.3,UPI,Gaming,2024-08-23 06:05:48,Ahmedabad,Ahmedabad,ATM Terminal,0,2024-08-22 09:21:48,11966.28,2529.97,,0
TXN106077,CUST11048,5397.96,NEFT,Luxury,2024-12-21 08:15:27,Kochi,Kochi,ATM Terminal,0,2024-12-21 07:10:27,9531.87,4042.33,,0
TXN100107,CUST10965,413.58,Online,Pharmacy,2024-01-25 18:44:07,Bhopal,Bhopal,Desktop,0,2024-01-25 11:39:07,66904.95,413.45,,0
TXN101315,CUST10590,1770.99,UPI,Fuel,2024-07-06 16:40:48,Surat,Surat,Tablet,0,2024-07-06 11:10:48,162565.61,2243.68,,0
TXN108187,CUST10437,2543.31,NEFT,Grocery,2024-12-11 06:51:37,Bangalore,Bangalore,Desktop,0,2024-12-11 04:39:37,170993.05,1737.58,,0
TXN102753,CUST10432,738.71,IMPS,Gaming,2024-05-18 10:47:03,Delhi,Delhi,Mobile,0,2024-05-17 23:06:03,19829.1,866.67,,0
TXN109753,CUST10938,471.62,Online,Fuel,2024-08-27 07:49:18,Ahmedabad,Ahmedabad,ATM Terminal,0,2024-08-26 12:56:18,38293.65,920.94,,0
TXN106231,CUST10810,411.68,Online,Luxury,2024-07-12 21:16:49,Mumbai,Mumbai,Mobile,0,2024-07-12 14:36:49,8159.59,2071.29,,0
TXN102876,CUST10841,674.3,POS,Pharmacy,2024-06-11 12:37:36,Kochi,Kochi,POS Terminal,0,2024-06-11 03:55:36,53477.89,611.28,,0
TXN105323,CUST10428,1118.9,POS,Gaming,2024-03-24 07:13:57,Bangalore,Bangalore,Mobile,0,2024-03-23 12:09:57,47711.57,665.92,,0
TXN100799,CUST10351,1038.7,Online,Restaurant,2024-08-11 08:43:56,Ahmedabad,Ahmedabad,Tablet,0,2024-08-10 18:26:56,7547.97,776.49,,0
TXN103570,CUST10504,8192.39,Online,Restaurant,2024-02-22 07:52:07,Jaipur,Jaipur,ATM Terminal,0,2024-02-21 20:02:07,21818.17,6370.69,,0
TXN102894,CUST10853,4098.63,POS,Gaming,2024-08-03 03:12:15,Lucknow,Lucknow,ATM Terminal,0,2024-08-02 08:53:15,219123.75,4052.5,,0
