transaction_id,customer_id,transaction_amount,transaction_type,merchant_category,transaction_time,transaction_location,customer_home_location,device_type,is_international,previous_transaction_time,account_balance,customer_avg_spend,fraud_pattern,is_fraud,mins_since_last_txn,amount_to_avg_ratio,location_mismatch,hour,balance_txn_ratio,risk_score,risk_category,predicted_fraud
TXN106252,CUST11063,410.46,ATM,Grocery,2024-02-28 08:52:27,Bangalore,Surat,Tablet,0,2024-02-28 08:45:27,140125.17,438.35,,0,7.0,0.9363750427740389,1,8,341.3856892267213,15,LOW,0
TXN104684,CUST10467,3483.81,ATM,Luxury,2024-04-18 18:15:59,Kolkata,Kolkata,ATM Terminal,0,2024-04-18 01:38:59,19379.04,3065.66,,0,997.0,1.1363980350071436,0,18,5.562599567714657,10,LOW,0
TXN101731,CUST10580,94.69,POS,Gaming,2024-06-07 04:19:48,Jaipur,Jaipur,Mobile,0,2024-06-06 11:05:48,289529.14,90.08,,0,1034.0,1.0511767317939609,0,4,3057.6527616432572,10,LOW,0
TXN104742,CUST10858,1867.63,Online,Restaurant,2024-10-17 02:19:55,Lucknow,Lucknow,Desktop,0,2024-10-16 11:39:55,50817.01,2692.91,,0,880.0,0.6935359889487581,0,2,27.209356242938913,10,LOW,0
TXN104521,CUST11075,2135.11,Online,Travel,2024-06-06 21:14:33,Delhi,Delhi,Mobile,0,2024-06-06 21:10:33,3653.36,1464.07,velocity,1,4.0,1.4583387406339863,0,21,1.7110874849539368,20,LOW,0
TXN106340,CUST10931,4185.44,ATM,Entertainment,2024-09-12 07:57:35,Kolkata,Kolkata,POS Terminal,0,2024-09-12 06:51:35,7142.05,4685.31,,0,66.0,0.8933112216694304,0,7,1.7064036278145192,10,LOW,0
TXN100576,CUST10229,1521.62,UPI,Fuel,2024-12-24 12:53:45,Surat,Surat,ATM Terminal,0,2024-12-24 06:41:45,10402.58,930.41,,0,372.0,1.6354295418148987,0,12,6.836516344422392,0,LOW,0
TXN105202,CUST10611,3252.78,UPI,Gaming,2024-07-25 21:11:09,Kolkata,Kolkata,Mobile,0,2024-07-25 02:58:09,49341.5,3868.15,,0,1093.0,0.8409136150356114,0,21,15.16902464968427,10,LOW,0
TXN106363,CUST11018,1901.35,Online,Fuel,2024-05-28 08:14:29,Jaipur,Jaipur,Desktop,0,2024-05-28 06:52:29,24752.92,2895.46,,0,82.0,0.6566659529055832,0,8,13.018602571856839,0,LOW,0
TXN100439,CUST10846,12766.49,UPI,Fuel,2024-06-03 19:05:59,Indore,Indore,Mobile,0,2024-06-02 21:27:59,11811.06,5143.85,,0,1298.0,2.4818939121475156,0,19,0.9251611053625546,20,LOW,0
TXN102750,CUST10795,182.63,Online,Gaming,2024-03-01 10:22:00,Kolkata,Kolkata,Desktop,0,2024-02-29 20:06:00,2091.27,499.41,,0,856.0,0.36569151598886684,0,10,11.450856923835076,10,LOW,0
TXN107487,CUST10505,10484.05,NEFT,Luxury,2024-08-02 11:17:53,Hyderabad,Hyderabad,Mobile,0,2024-08-02 01:01:53,54286.62,8785.63,,0,616.0,1.1933179521559638,0,11,5.178019944582485,10,LOW,0
TXN105272,CUST10560,4541.44,POS,Pharmacy,2024-04-06 15:08:32,Kochi,Kochi,Mobile,0,2024-04-05 22:18:32,89455.85,6813.29,,0,1010.0,0.666556098448767,0,15,19.697683994503947,0,LOW,0
TXN105653,CUST10139,5486.39,POS,Utilities,2024-11-09 17:13:02,Hyderabad,Hyderabad,Mobile,0,2024-11-09 10:01:02,25750.49,1966.01,,0,432.0,2.790621614335634,0,17,4.693521605281433,0,LOW,0
TXN103999,CUST10317,1208.56,Online,Restaurant,2024-09-11 21:56:02,Nagpur,Nagpur,ATM Terminal,0,2024-09-11 00:34:02,6816.96,536.72,,0,1282.0,2.2517513787449692,0,21,5.640563976964321,0,LOW,0
TXN106033,CUST10165,2055.88,ATM,Clothing,2024-09-20 17:13:06,Lucknow,Lucknow,Mobile,0,2024-09-20 07:38:06,10902.45,1781.67,,0,575.0,1.153906166686311,0,17,5.303057571453587,0,LOW,0
TXN100582,CUST10598,2828.11,UPI,Electronics,2024-08-12 15:08:30,Delhi,Delhi,Mobile,0,2024-08-12 09:01:30,67151.52,1765.93,,0,367.0,1.6014847700644985,0,15,23.7443098040741,0,LOW,0
TXN109930,CUST10667,3626.98,POS,Grocery,2024-12-28 13:11:40,Delhi,Delhi,Mobile,0,2024-12-27 13:45:40,21713.34,2161.16,,0,1406.0,1.678256121712414,0,13,5.986616965078385,0,LOW,0
TXN107051,CUST10463,861.39,POS,Restaurant,2024-12-15 12:02:12,Bangalore,Patna,Mobile,0,2024-12-15 00:49:12,52345.87,924.54,,0,673.0,0.9316957622168862,1,12,60.7690709202568,15,LOW,0
TXN108158,CUST10003,26641.94,UPI,Travel,2024-12-02 13:05:05,Bangalore,Bangalore,POS Terminal,0,2024-12-02 05:44:05,69557.22,12028.76,,0,441.0,2.214853401348102,0,13,2.610816629719908,0,LOW,0
TXN109896,CUST10614,4100.39,UPI,Clothing,2024-02-15 22:23:10,Indore,Nagpur,Mobile,0,2024-02-15 17:05:10,294480.31,5748.27,,0,318.0,0.7133259224079592,1,22,71.81763442014052,15,LOW,0
TXN102249,CUST10139,1457.75,POS,Gaming,2024-07-26 13:24:38,Hyderabad,Hyderabad,ATM Terminal,0,2024-07-26 09:01:38,20572.16,1966.01,,0,263.0,0.7414763912696273,0,13,14.112268907563026,10,LOW,0
TXN104640,CUST10238,1957.78,Online,Gaming,2024-10-17 19:12:46,Kolkata,Mumbai,Desktop,0,2024-10-17 02:32:46,35683.73,3611.46,,0,1000.0,0.5421020861369086,1,19,18.226629141170104,25,LOW,0
TXN109485,CUST10944,1928.12,POS,Luxury,2024-02-28 13:11:12,Delhi,Delhi,Mobile,0,2024-02-27 20:56:12,40782.95,1023.92,,0,975.0,1.8830768028752245,0,13,21.151665871418793,10,LOW,0
TXN104947,CUST10849,3174.46,POS,Restaurant,2024-12-12 09:28:02,Patna,Patna,Mobile,0,2024-12-12 00:55:02,51235.63,3349.91,,0,513.0,0.94762545859441,0,9,16.139951361806418,0,LOW,0
TXN109920,CUST10396,623.66,Online,Clothing,2024-04-25 17:18:52,Ahmedabad,Ahmedabad,Desktop,0,2024-04-25 10:23:52,13165.74,2504.63,,0,415.0,0.24900284672785997,0,17,21.11044479363756,0,LOW,0
